Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
119.001,1134,119,119,1743.03297507529,719.778645833333,12.2012308255271
,1137,120,120,,,
,1122,121,121,,,
,1049,122,122,,,
,1043,123,123,,,
,990,124,124,,,
,913,125,125,,,
,906,126,126,,,
,941,127,127,,,
,895,128,128,,,
,872,129,129,,,
,796,130,130,,,
,793,131,131,,,
,816,132,132,,,
,720,133,133,,,
,730,134,134,,,
,780,135,135,,,
,671,136,136,,,
,732,137,137,,,
,678,138,138,,,
,667,139,139,,,
,665,140,140,,,
,719,141,141,,,
,820,142,142,,,
,907,143,143,,,
,1127,144,144,,,
,1304,145,145,,,
,1505,146,146,,,
,1719,147,147,,,
,1793,148,148,,,
,1972,149,149,,,
,1900,150,150,,,
,1823,151,151,,,
,1596,152,152,,,
,1463,153,153,,,
,1125,154,154,,,
,913,155,155,,,
,660,156,156,,,
,550,157,157,,,
,458,158,158,,,
,386,159,159,,,
,392,160,160,,,
,404,161,161,,,
,570,162,162,,,
,691,163,163,,,
,816,164,164,,,
,988,165,165,,,
,1148,166,166,,,
,1391,167,167,,,
,1441,168,168,,,
,1520,169,169,,,
,1441,170,170,,,
,1391,171,171,,,
,1278,172,172,,,
,1116,173,173,,,
,845,174,174,,,
,694,175,175,,,
,443,176,176,,,
,348,177,177,,,
,239,178,178,,,
,123,179,179,,,
,95,180,180,,,
,64,181,181,,,
,43,182,182,,,
,26,183,183,,,
,14,184,184,,,
,15,185,185,,,
,13,186,186,,,
,11,187,187,,,
,13,188,188,,,
,9,189,189,,,
,10,190,190,,,
,5,191,191,,,
,5,192,192,,,
,14,193,193,,,
,6,194,194,,,
,4,195,195,,,
,8,196,196,,,
,4,197,197,,,
,3,198,198,,,
,5,199,199,,,
,9,200,200,,,
,2,201,201,,,
,5,202,202,,,
,6,203,203,,,
,8,204,204,,,
,10,205,205,,,
,3,206,206,,,
,5,207,207,,,
,5,208,208,,,
,4,209,209,,,
,5,210,210,,,
,1,211,211,,,
,6,212,212,,,
,4,213,213,,,
,6,214,214,,,
,5,215,215,,,
,4,216,216,,,
,1,217,217,,,
,2,218,218,,,
,5,219,219,,,
,5,220,220,,,
,8,221,221,,,
,4,222,222,,,
,4,223,223,,,
,3,224,224,,,
,2,225,225,,,
,3,226,226,,,
,3,227,227,,,
,3,228,228,,,
,2,229,229,,,
,4,230,230,,,
,2,231,231,,,
,3,232,232,,,
,3,233,233,,,
,3,234,234,,,
,2,235,235,,,
,3,236,236,,,
,2,237,237,,,
,5,238,238,,,
,3,239,239,,,
,0,240,240,,,
,2,241,241,,,
,5,242,242,,,
,2,243,243,,,
,4,244,244,,,
,4,245,245,,,
,2,246,246,,,
,0,247,247,,,
,2,248,248,,,
,0,249,249,,,
,2,250,250,,,
,1,251,251,,,
,0,252,252,,,
,1,253,253,,,
,3,254,254,,,
,4,255,255,,,
,0,256,256,,,
,3,257,257,,,
,1,258,258,,,
,3,259,259,,,
,1,260,260,,,
,2,261,261,,,
,2,262,262,,,
,4,263,263,,,
,0,264,264,,,
,3,265,265,,,
,5,266,266,,,
,2,267,267,,,
,1,268,268,,,
,2,269,269,,,
,3,270,270,,,
,2,271,271,,,
,1,272,272,,,
,3,273,273,,,
,5,274,274,,,
,3,275,275,,,
,2,276,276,,,
,2,277,277,,,
,3,278,278,,,
,3,279,279,,,
,0,280,280,,,
,5,281,281,,,
,1,282,282,,,
,0,283,283,,,
,1,284,284,,,
,0,285,285,,,
,0,286,286,,,
,0,287,287,,,
,2,288,288,,,
,0,289,289,,,
,0,290,290,,,
,1,291,291,,,
,1,292,292,,,
,0,293,293,,,
,0,294,294,,,
,0,295,295,,,
,0,296,296,,,
,0,297,297,,,
,0,298,298,,,
,2,299,299,,,
,1,300,300,,,
,2,301,301,,,
,1,302,302,,,
,0,303,303,,,
,1,304,304,,,
,2,305,305,,,
,1,306,306,,,
,2,307,307,,,
,0,308,308,,,
,1,309,309,,,
,1,310,310,,,
,1,311,311,,,
,3,312,312,,,
,0,313,313,,,
,2,314,314,,,
,0,315,315,,,
,1,316,316,,,
,1,317,317,,,
,0,318,318,,,
,0,319,319,,,
,2,320,320,,,
,2,321,321,,,
,0,322,322,,,
,2,323,323,,,
,0,324,324,,,
,0,325,325,,,
,1,326,326,,,
,0,327,327,,,
,1,328,328,,,
,1,329,329,,,
,0,330,330,,,
,0,331,331,,,
,0,332,332,,,
,0,333,333,,,
,0,334,334,,,
,1,335,335,,,
,0,336,336,,,
,0,337,337,,,
,0,338,338,,,
,0,339,339,,,
,0,340,340,,,
,0,341,341,,,
,0,342,342,,,
,0,343,343,,,
,0,344,344,,,
,0,345,345,,,
,0,346,346,,,
,0,347,347,,,
,0,348,348,,,
,0,349,349,,,
,0,350,350,,,
,0,351,351,,,
,0,352,352,,,
,1,353,353,,,
,0,354,354,,,
,0,355,355,,,
,0,356,356,,,
,0,357,357,,,
,1,358,358,,,
,0,359,359,,,
,0,360,360,,,
,0,361,361,,,
,0,362,362,,,
,0,363,363,,,
,0,364,364,,,
,0,365,365,,,
,0,366,366,,,
,0,367,367,,,
,0,368,368,,,
,0,369,369,,,
,1,370,370,,,
,0,371,371,,,
,0,372,372,,,
,0,373,373,,,
,0,374,374,,,
,0,375,375,,,
,0,376,376,,,
,0,377,377,,,
,0,378,378,,,
,0,379,379,,,
,0,380,380,,,
,0,381,381,,,
,0,382,382,,,
,0,383,383,,,
,0,384,384,,,
,0,385,385,,,
,0,386,386,,,
,0,387,387,,,
,0,388,388,,,
,0,389,389,,,
,0,390,390,,,
,0,391,391,,,
,0,392,392,,,
,0,393,393,,,
,0,394,394,,,
,0,395,395,,,
,0,396,396,,,
,0,397,397,,,
,0,398,398,,,
,1,399,399,,,
,0,400,400,,,
,0,401,401,,,
,0,402,402,,,
,0,403,403,,,
,0,404,404,,,
,0,405,405,,,
,0,406,406,,,
,0,407,407,,,
,0,408,408,,,
,0,409,409,,,
,0,410,410,,,
,0,411,411,,,
,0,412,412,,,
,0,413,413,,,
,0,414,414,,,
,0,415,415,,,
,0,416,416,,,
,0,417,417,,,
,0,418,418,,,
,0,419,419,,,
,0,420,420,,,
,0,421,421,,,
,0,422,422,,,
,0,423,423,,,
,0,424,424,,,
,0,425,425,,,
,0,426,426,,,
,0,427,427,,,
,0,428,428,,,
,0,429,429,,,
,0,430,430,,,
,0,431,431,,,
,1,432,432,,,
,0,433,433,,,
,0,434,434,,,
,0,435,435,,,
,0,436,436,,,
,0,437,437,,,
,0,438,438,,,
,0,439,439,,,
,0,440,440,,,
,0,441,441,,,
,0,442,442,,,
,0,443,443,,,
,0,444,444,,,
,0,445,445,,,
,0,446,446,,,
,0,447,447,,,
,0,448,448,,,
,0,449,449,,,
,0,450,450,,,
,0,451,451,,,
,0,452,452,,,
,0,453,453,,,
,0,454,454,,,
,0,455,455,,,
,0,456,456,,,
,0,457,457,,,
,0,458,458,,,
,0,459,459,,,
,0,460,460,,,
,0,461,461,,,
,0,462,462,,,
,0,463,463,,,
,0,464,464,,,
,0,465,465,,,
,0,466,466,,,
,0,467,467,,,
,0,468,468,,,
,0,469,469,,,
,0,470,470,,,
,0,471,471,,,
,0,472,472,,,
,0,473,473,,,
,0,474,474,,,
,0,475,475,,,
,0,476,476,,,
,1,477,477,,,
,0,478,478,,,
,0,479,479,,,
,0,480,480,,,
,0,481,481,,,
,0,482,482,,,
,0,483,483,,,
,0,484,484,,,
,0,485,485,,,
,0,486,486,,,
,0,487,487,,,
,0,488,488,,,
,0,489,489,,,
,0,490,490,,,
,0,491,491,,,
,0,492,492,,,
,0,493,493,,,
,0,494,494,,,
,0,495,495,,,
,0,496,496,,,
,0,497,497,,,
,0,498,498,,,
,0,499,499,,,
,0,500,500,,,
,0,501,501,,,
,0,502,502,,,
,0,503,503,,,
,0,504,504,,,
,0,505,505,,,
,0,506,506,,,
,0,507,507,,,
,0,508,508,,,
,0,509,509,,,
,0,510,510,,,
,2,511,511,,,
