Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
254.001,75.66666667,254,254,541.2877791,703.8697917,227
255,76.33333333,255,255,567.9927297,708.9140625,229
256.001,77,256,256,612.1373024,709.6901042,231
257,79.33333333,257,257,591.9031258,710.078125,238
258,83,258,258,590.1203255,708.5260417,249
259.001,84.66666667,259,259,579.8694174,706.9739583,254
260.001,76.33333333,260,260,568.7620274,708.1380208,229
261,79.33333333,261,261,546.5364088,705.421875,238
262.001,74.33333333,262,262,579.7862521,703.4817708,223
263,89,263,263,577.6270813,703.09375,267
264,75.33333333,264,264,567.7438907,709.3020833,226
265,86.66666667,265,265,564.174555,701.1536458,260
266,74,266,266,579.8918824,708.5260417,222
267,76,267,267,596.8012783,699.9895833,228
268.001,75.66666667,268,268,571.883032,704.6458333,227
269.001,69.33333333,269,269,606.5407311,708.9140625,208
270,77,270,270,553.5416405,707.75,231
271,69.66666667,271,271,613.5661586,710.078125,209
272,82,272,272,591.9694513,706.5859375,246
273,66.33333333,273,273,563.1306063,708.9140625,199
274.001,84,274,274,595.8297714,704.2578125,252
275.001,75.66666667,275,275,605.4955442,713.1822917,227
276.001,85,276,276,582.9810531,706.1979167,255
277.001,76.66666667,277,277,563.3020388,708.1380208,230
278.001,75.33333333,278,278,597.0120596,704.6458333,226
279.001,80.66666667,279,279,597.1035152,710.078125,242
280,74.66666667,280,280,587.746366,710.4661458,224
281,83.33333333,281,281,540.1050008,703.8697917,250
282.001,80,282,282,559.9653941,703.09375,240
283,73.33333333,283,283,579.8105317,708.1380208,220
284,74.66666667,284,284,574.1643833,705.8098958,224
285.001,71,285,285,622.0245078,712.40625,213
286.001,66.33333333,286,286,581.8229624,708.5260417,199
287,76.33333333,287,287,542.1761427,708.1380208,229
288.001,72.33333333,288,288,600.5497306,712.7942708,217
289,75,289,289,578.7479316,707.3619792,225
290.001,83.66666667,290,290,595.0104127,710.8541667,251
291,82.33333333,291,291,563.0991618,710.078125,247
292,78,292,292,555.0065491,704.2578125,234
293,76.66666667,293,293,558.4697888,701.5416667,230
294.001,80.33333333,294,294,556.0836439,703.09375,241
294.999,73.33333333,295,295,519.7937771,703.8697917,220
296,75.33333333,296,296,575.9374019,708.9140625,226
297,83.33333333,297,297,547.4460863,705.421875,250
298,71.66666667,298,298,609.7261652,709.3020833,215
299.001,76.33333333,299,299,602.1557776,712.0182292,229
300,65.33333333,300,300,611.8632166,702.7057292,196
,81.66666667,301,301,,,245
,85,302,302,,,255
,80.66666667,303,303,,,242
,85.33333333,304,304,,,256
,75.66666667,305,305,,,227
,82.33333333,306,306,,,247
,68,307,307,,,204
,72.33333333,308,308,,,217
,80,309,309,,,240
,87.66666667,310,310,,,263
,71.66666667,311,311,,,215
,80.66666667,312,312,,,242
,79.33333333,313,313,,,238
,65,314,314,,,195
,88,315,315,,,264
,83,316,316,,,249
,72.33333333,317,317,,,217
,76.33333333,318,318,,,229
,77,319,319,,,231
,78,320,320,,,234
,75.66666667,321,321,,,227
,77.66666667,322,322,,,233
,80,323,323,,,240
,72.33333333,324,324,,,217
,75,325,325,,,225
,80.66666667,326,326,,,242
,82,327,327,,,246
,71.66666667,328,328,,,215
,73.33333333,329,329,,,220
,73.66666667,330,330,,,221
,78.66666667,331,331,,,236
,79.66666667,332,332,,,239
,83.66666667,333,333,,,251
,65.66666667,334,334,,,197
,64.66666667,335,335,,,194
,76,336,336,,,228
,73,337,337,,,219
,72,338,338,,,216
,81,339,339,,,243
,91.66666667,340,340,,,275
,75,341,341,,,225
,78,342,342,,,234
,89.66666667,343,343,,,269
,70.33333333,344,344,,,211
,77.33333333,345,345,,,232
,69,346,346,,,207
,77.66666667,347,347,,,233
,77,348,348,,,231
,81,349,349,,,243
,75.33333333,350,350,,,226
,85.33333333,351,351,,,256
,77.33333333,352,352,,,232
,80.33333333,353,353,,,241
,76.33333333,354,354,,,229
,87.33333333,355,355,,,262
,73.33333333,356,356,,,220
,69.33333333,357,357,,,208
,82.33333333,358,358,,,247
,73,359,359,,,219
,75.66666667,360,360,,,227
,75.33333333,361,361,,,226
,79,362,362,,,237
,76.33333333,363,363,,,229
,77.66666667,364,364,,,233
,77.33333333,365,365,,,232
,76.33333333,366,366,,,229
,67.33333333,367,367,,,202
,73.66666667,368,368,,,221
,77.66666667,369,369,,,233
,76.66666667,370,370,,,230
,74,371,371,,,222
,81.33333333,372,372,,,244
,84,373,373,,,252
,81.66666667,374,374,,,245
,77.33333333,375,375,,,232
,67,376,376,,,201
,81.66666667,377,377,,,245
,73.66666667,378,378,,,221
,80.33333333,379,379,,,241
,81,380,380,,,243
,87.66666667,381,381,,,263
,77.33333333,382,382,,,232
,82.66666667,383,383,,,248
,72.66666667,384,384,,,218
,73,385,385,,,219
,78,386,386,,,234
,70.66666667,387,387,,,212
,79,388,388,,,237
,82.33333333,389,389,,,247
,81.66666667,390,390,,,245
,77,391,391,,,231
,86,392,392,,,258
,68.33333333,393,393,,,205
,78.66666667,394,394,,,236
,75.33333333,395,395,,,226
,80.66666667,396,396,,,242
,75.66666667,397,397,,,227
,89,398,398,,,267
,83,399,399,,,249
,77.66666667,400,400,,,233
,77.33333333,401,401,,,232
,84.66666667,402,402,,,254
,73.33333333,403,403,,,220
,73.66666667,404,404,,,221
,86.66666667,405,405,,,260
,86.33333333,406,406,,,259
,74.33333333,407,407,,,223
,70,408,408,,,210
,74,409,409,,,222
,74.66666667,410,410,,,224
,73,411,411,,,219
,83.33333333,412,412,,,250
,64.66666667,413,413,,,194
,79.66666667,414,414,,,239
,85.33333333,415,415,,,256
,77,416,416,,,231
,75.66666667,417,417,,,227
,69.66666667,418,418,,,209
,66.33333333,419,419,,,199
,64.66666667,420,420,,,194
,73.66666667,421,421,,,221
,73.33333333,422,422,,,220
,76.33333333,423,423,,,229
,76.33333333,424,424,,,229
,69.33333333,425,425,,,208
,66.33333333,426,426,,,199
,64.66666667,427,427,,,194
,64.33333333,428,428,,,193
,62.66666667,429,429,,,188
,60,430,430,,,180
,58,431,431,,,174
,67,432,432,,,201
,57,433,433,,,171
