Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
,274,450,450,,,
,270,451,451,,,
,315,452,452,,,
,293,453,453,,,
,303,454,454,,,
,338,455,455,,,
,337,456,456,,,
,399,457,457,,,
,406,458,458,,,
,360,459,459,,,
,408,460,460,,,
,437,461,461,,,
,427,462,462,,,
,435,463,463,,,
,489,464,464,,,
,489,465,465,,,
,501,466,466,,,
,557,467,467,,,
,537,468,468,,,
,552,469,469,,,
,607,470,470,,,
,586,471,471,,,
,638,472,472,,,
,590,473,473,,,
,684,474,474,,,
,648,475,475,,,
,700,476,476,,,
,629,477,477,,,
,703,478,478,,,
,667,479,479,,,
,689,480,480,,,
,680,481,481,,,
,734,482,482,,,
,657,483,483,,,
,678,484,484,,,
,676,485,485,,,
,668,486,486,,,
,677,487,487,,,
,687,488,488,,,
,624,489,489,,,
,639,490,490,,,
,605,491,491,,,
,640,492,492,,,
,599,493,493,,,
,593,494,494,,,
,592,495,495,,,
,597,496,496,,,
,573,497,497,,,
,516,498,498,,,
,566,499,499,,,
,487,500,500,,,
,487,501,501,,,
,438,502,502,,,
,429,503,503,,,
,401,504,504,,,
,390,505,505,,,
,346,506,506,,,
,337,507,507,,,
,317,508,508,,,
,307,509,509,,,
,240,510,510,,,
,262,511,511,,,
,239,512,512,,,
,225,513,513,,,
,203,514,514,,,
,187,515,515,,,
,181,516,516,,,
,190,517,517,,,
,139,518,518,,,
,150,519,519,,,
,120,520,520,,,
,146,521,521,,,
,130,522,522,,,
,94,523,523,,,
,95,524,524,,,
,79,525,525,,,
,98,526,526,,,
,78,527,527,,,
,84,528,528,,,
,77,529,529,,,
,81,530,530,,,
,68,531,531,,,
,60,532,532,,,
,81,533,533,,,
,73,534,534,,,
,59,535,535,,,
,64,536,536,,,
,70,537,537,,,
,59,538,538,,,
,53,539,539,,,
,59,540,540,,,
,59,541,541,,,
,64,542,542,,,
,63,543,543,,,
,63,544,544,,,
,51,545,545,,,
,48,546,546,,,
,47,547,547,,,
,59,548,548,,,
,58,549,549,,,
,69,550,550,,,
,54,551,551,,,
,58,552,552,,,
,58,553,553,,,
,44,554,554,,,
,53,555,555,,,
,64,556,556,,,
,54,557,557,,,
,62,558,558,,,
,67,559,559,,,
,62,560,560,,,
,70,561,561,,,
,65,562,562,,,
,54,563,563,,,
,64,564,564,,,
,48,565,565,,,
,65,566,566,,,
,66,567,567,,,
,57,568,568,,,
,70,569,569,,,
,75,570,570,,,
,69,571,571,,,
,72,572,572,,,
,69,573,573,,,
,54,574,574,,,
,73,575,575,,,
,76,576,576,,,
,68,577,577,,,
,68,578,578,,,
,68,579,579,,,
,60,580,580,,,
,66,581,581,,,
,54,582,582,,,
,71,583,583,,,
,61,584,584,,,
,68,585,585,,,
,72,586,586,,,
,77,587,587,,,
,61,588,588,,,
,61,589,589,,,
,82,590,590,,,
,68,591,591,,,
,70,592,592,,,
,57,593,593,,,
,76,594,594,,,
,67,595,595,,,
,62,596,596,,,
,68,597,597,,,
,74,598,598,,,
,74,599,599,,,
,71,600,600,,,
,86,601,601,,,
,74,602,602,,,
,63,603,603,,,
,74,604,604,,,
,70,605,605,,,
,77,606,606,,,
,73,607,607,,,
,52,608,608,,,
,74,609,609,,,
,79,610,610,,,
,74,611,611,,,
,69,612,612,,,
,79,613,613,,,
,71,614,614,,,
,60,615,615,,,
,71,616,616,,,
,71,617,617,,,
,76,618,618,,,
,63,619,619,,,
,85,620,620,,,
,72,621,621,,,
,71,622,622,,,
,76,623,623,,,
,76,624,624,,,
,70,625,625,,,
,76,626,626,,,
,86,627,627,,,
,73,628,628,,,
,81,629,629,,,
,93,630,630,,,
,71,631,631,,,
,45,632,632,,,
,84,633,633,,,
,95,634,634,,,
,85,635,635,,,
,78,636,636,,,
,83,637,637,,,
,87,638,638,,,
,97,639,639,,,
,89,640,640,,,
,82,641,641,,,
,93,642,642,,,
,75,643,643,,,
,81,644,644,,,
,93,645,645,,,
,87,646,646,,,
,80,647,647,,,
,85,648,648,,,
,88,649,649,,,
,80,650,650,,,
,70,651,651,,,
,107,652,652,,,
,95,653,653,,,
,72,654,654,,,
,73,655,655,,,
,99,656,656,,,
,112,657,657,,,
,85,658,658,,,
,93,659,659,,,
,92,660,660,,,
,97,661,661,,,
,85,662,662,,,
,84,663,663,,,
,91,664,664,,,
,95,665,665,,,
,96,666,666,,,
,95,667,667,,,
,107,668,668,,,
,109,669,669,,,
,71,670,670,,,
,110,671,671,,,
,89,672,672,,,
,82,673,673,,,
,79,674,674,,,
,91,675,675,,,
,101,676,676,,,
,91,677,677,,,
,106,678,678,,,
,104,679,679,,,
,94,680,680,,,
,93,681,681,,,
,77,682,682,,,
,97,683,683,,,
,107,684,684,,,
,96,685,685,,,
,95,686,686,,,
,97,687,687,,,
,104,688,688,,,
,116,689,689,,,
,125,690,690,,,
,132,691,691,,,
,102,692,692,,,
,93,693,693,,,
,109,694,694,,,
,125,695,695,,,
,111,696,696,,,
,109,697,697,,,
,123,698,698,,,
,101,699,699,,,
,114,700,700,,,
,96,701,701,,,
,111,702,702,,,
,127,703,703,,,
,103,704,704,,,
,126,705,705,,,
,108,706,706,,,
,112,707,707,,,
,102,708,708,,,
,113,709,709,,,
,135,710,710,,,
,105,711,711,,,
,111,712,712,,,
,106,713,713,,,
,115,714,714,,,
,96,715,715,,,
,113,716,716,,,
,99,717,717,,,
,103,718,718,,,
,99,719,719,,,
,95,720,720,,,
,90,721,721,,,
,88,722,722,,,
,74,723,723,,,
,82,724,724,,,
,88,725,725,,,
,85,726,726,,,
,82,727,727,,,
,70,728,728,,,
,88,729,729,,,
,71,730,730,,,
,63,731,731,,,
,67,732,732,,,
,75,733,733,,,
,50,734,734,,,
,43,735,735,,,
,64,736,736,,,
,52,737,737,,,
,55,738,738,,,
,65,739,739,,,
,51,740,740,,,
,50,741,741,,,
,45,742,742,,,
,62,743,743,,,
,47,744,744,,,
,59,745,745,,,
,52,746,746,,,
,45,747,747,,,
,35,748,748,,,
,42,749,749,,,
,32,750,750,,,
,47,751,751,,,
,40,752,752,,,
,35,753,753,,,
,56,754,754,,,
,62,755,755,,,
,50,756,756,,,
,49,757,757,,,
,60,758,758,,,
,48,759,759,,,
,66,760,760,,,
,68,761,761,,,
,62,762,762,,,
,79,763,763,,,
,95,764,764,,,
,94,765,765,,,
,115,766,766,,,
,129,767,767,,,
,124,768,768,,,
,110,769,769,,,
,159,770,770,,,
,127,771,771,,,
,169,772,772,,,
,161,773,773,,,
,176,774,774,,,
,195,775,775,,,
,202,776,776,,,
,190,777,777,,,
,214,778,778,,,
,196,779,779,,,
,228,780,780,,,
,220,781,781,,,
,236,782,782,,,
,223,783,783,,,
,239,784,784,,,
