Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Raw
339.001,0.583333333,339,339,698.8255208,8.878424186,7
340.001,0.75,340,340,699.2135417,11.0120108,9
341.001,0.416666667,341,341,698.8255208,7.775996211,5
342.001,1.25,342,342,699.2135417,9.003679804,15
343.001,0.666666667,343,343,699.6015625,12.99969971,8
344.001,0.333333333,344,344,699.6015625,5.998866814,4
345.001,0.5,345,345,699.6015625,7.993339949,6
346.001,0.666666667,346,346,699.9895833,10.00659535,8
347,0.666666667,347,347,699.6015625,11.9935211,8
348,0.5,348,348,699.6015625,6.00469447,6
349,0.916666667,349,349,699.6015625,6.003918157,11
350,0.583333333,350,350,699.6015625,10.98338434,7
351.001,1.166666667,351,351,699.6015625,12.0223363,14
352,0.666666667,352,352,699.6015625,9.994388706,8
353,1,353,353,699.6015625,7.001581657,12
354.001,0.583333333,354,354,699.6015625,6.662970199,7
355.001,0.25,355,355,699.2135417,8.995619133,3
356.001,0.75,356,356,699.6015625,8.015346985,9
357.001,0.833333333,357,357,699.6015625,9.996588942,10
358.001,0.666666667,358,358,699.6015625,5.54541238,8
359.001,0.75,359,359,699.2135417,13.00825374,9
360,0.833333333,360,360,698.8255208,7.007902812,10
361,0.666666667,361,361,698.8255208,7.993922221,8
362.001,0.916666667,362,362,698.8255208,9.000606641,11
363,0.75,363,363,699.2135417,15.01385328,9
364.001,0.75,364,364,699.6015625,11.99401019,9
365,0.5,365,365,698.8255208,7.777420016,6
366,0.583333333,366,366,699.2135417,9.000190804,7
367,0.833333333,367,367,699.6015625,1.999769427,10
368.001,0.75,368,368,699.6015625,8.997541872,9
369.001,0.916666667,369,369,699.6015625,8.88453448,11
370,0.583333333,370,370,699.6015625,9.005802439,7
371,0.916666667,371,371,699.6015625,5.99341743,11
372.001,0.75,372,372,699.6015625,4.006959287,9
373.001,0.666666667,373,373,699.6015625,12.2097398,8
374,0.5,374,374,699.6015625,9.011842462,6
375.001,0.916666667,375,375,699.2135417,8.8809158,11
376.001,0.833333333,376,376,699.6015625,6.660385923,10
377.001,0.916666667,377,377,699.6015625,11.1105778,11
378.001,0.666666667,378,378,699.2135417,11.99517194,8
379,0.833333333,379,379,699.2135417,8.01873658,10
380,0.416666667,380,380,698.8255208,8.878549325,5
381.001,0.666666667,381,381,698.8255208,11.11030623,8
382.001,0.333333333,382,382,699.2135417,11.00591127,4
383.001,0.666666667,383,383,698.4375,12.2089389,8
384.001,0.166666667,384,384,698.4375,13.32799325,2
385,0.416666667,385,385,699.6015625,5.002958249,5
386,0.416666667,386,386,698.8255208,9.995490923,5
387.001,0.583333333,387,387,699.6015625,8.880745245,7
388,0.666666667,388,388,699.6015625,11.10379988,8
389.001,0.916666667,389,389,699.2135417,9.008255165,11
390.001,0.5,390,390,699.9895833,8.887173664,6
391.001,0.5,391,391,699.6015625,13.00131183,6
392,0.333333333,392,392,699.6015625,7.773893422,4
393.001,0.75,393,393,699.6015625,4.006594855,9
394.001,0.25,394,394,699.9895833,9.992962734,3
395,0.916666667,395,395,699.9895833,13.32491791,11
396,0.833333333,396,396,699.9895833,10.997906,10
397,0.5,397,397,699.9895833,7.000524339,6
398,0.416666667,398,398,699.6015625,10.99696154,5
399.001,0.666666667,399,399,699.6015625,7.006708222,8
400.001,0.416666667,400,400,699.6015625,8.886984112,5
401,0.833333333,401,401,699.6015625,11.10373206,10
402.001,0.666666667,402,402,699.6015625,9.002026356,8
403,0.583333333,403,403,698.8255208,8.999073095,7
404.001,0.416666667,404,404,699.6015625,7.769942223,5
405,0.416666667,405,405,698.4375,15.03127256,5
406.001,0.5,406,406,699.2135417,12.21148561,6
407.001,0.166666667,407,407,698.4375,5.546619336,2
408.001,0.5,408,408,698.8255208,7.008184157,6
409,0.833333333,409,409,699.6015625,8.005034366,10
410,0.75,410,410,698.4375,11.10074178,9
411.001,0.5,411,411,699.6015625,9.012813517,6
412.001,0.333333333,412,412,699.2135417,9.988149615,4
413.001,0.75,413,413,699.6015625,12.0121034,9
414.001,0.666666667,414,414,698.8255208,13.32481581,8
415.001,0.75,415,415,698.8255208,11.10375549,9
416.001,0.75,416,416,699.6015625,12.22127847,9
417,0.583333333,417,417,699.6015625,4.000248015,7
418,0.583333333,418,418,699.6015625,10.00467418,7
419,0.916666667,419,419,699.6015625,6.660981889,11
420.001,0.666666667,420,420,699.6015625,5.993753909,8
421,1,421,421,699.9895833,8.012716181,12
422.001,0.666666667,422,422,699.9895833,8.005453315,8
423.001,0.416666667,423,423,699.9895833,11.01096913,5
424.001,0.333333333,424,424,699.6015625,12.19097405,4
425,0.333333333,425,425,699.6015625,7.001342858,4
426,0.583333333,426,426,699.6015625,12.00280506,7
427.001,0.5,427,427,699.6015625,6.999587024,6
