Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
258,1.666666667,258,258,9.993797849,698.4375,10
259.001,1.5,259,259,14.01523175,698.4375,9
260.001,1.333333333,260,260,17.98347858,698.4375,8
261,1.833333333,261,261,7.998098052,698.4375,11
262,1,262,262,13.98768664,698.4375,6
263.001,1.333333333,263,263,16.00096326,698.4375,8
264.001,1.666666667,264,264,9.994188934,698.4375,10
265.001,1.333333333,265,265,12.01131706,698.4375,8
266.001,2,266,266,14.99135449,698.4375,12
267,2.166666667,267,267,11.01603935,698.4375,13
268.001,2,268,268,12.20869499,698.4375,12
269,1.333333333,269,269,7.001249723,698.4375,8
270.001,1,270,270,7.769934461,698.4375,6
271.001,1.833333333,271,271,11.09572258,698.4375,11
272,1.666666667,272,272,7.768884994,698.4375,10
272.999,1.333333333,273,273,15.01332433,698.4375,8
274,1.333333333,274,274,8.880845803,698.4375,8
275,1.166666667,275,275,14.02482253,698.4375,7
276,1.5,276,276,14.41151413,698.4375,9
276.999,2,277,277,13.0193963,698.4375,12
278,1.166666667,278,278,11.99515036,698.4375,7
279,1.666666667,279,279,16.01135205,698.4375,10
279.999,1.666666667,280,280,9.992353851,698.4375,10
281,0.833333333,281,281,9.004548197,698.4375,5
282,1,282,282,12.21727016,698.4375,6
283,0.833333333,283,283,14.99156275,698.4375,5
284,1.666666667,284,284,8.887326694,698.4375,10
285.001,1.333333333,285,285,14.02312975,699.2135417,8
286.001,1.333333333,286,286,11.10054339,698.4375,8
287.001,0.833333333,287,287,12.2122055,698.4375,5
288.001,0.666666667,288,288,9.006505399,698.4375,4
289,1.333333333,289,289,16.01018087,698.4375,8
289.999,1.166666667,290,290,12.98835464,698.4375,7
291.001,1.333333333,291,291,12.22115627,698.4375,8
292,0.666666667,292,292,9.999392037,698.4375,4
293.001,1.333333333,293,293,11.99112776,698.4375,8
294.001,1.666666667,294,294,18.03215133,698.4375,10
295,1.666666667,295,295,8.876792779,698.4375,10
296.001,1.5,296,296,12.00726319,698.8255208,9
297,1,297,297,23.00187695,698.4375,6
298,1.833333333,298,298,8.007454139,698.4375,11
299,1.333333333,299,299,9.980060947,698.4375,8
300,2,300,300,17.03842847,698.4375,12
301,1.5,301,301,13.31784616,698.4375,9
302.001,1.5,302,302,6.661481074,698.8255208,9
303,1.5,303,303,12.21383132,698.4375,9
304,0.833333333,304,304,15.02975139,698.4375,5
305,1,305,305,17.75214368,698.8255208,6
306,1.166666667,306,306,14.02351322,698.0494792,7
307.001,1.5,307,307,9.986281069,698.4375,9
308,1.833333333,308,308,11.99613485,698.4375,11
309.001,2.166666667,309,309,18.88453915,698.4375,13
310,1,310,310,7.776448869,698.4375,6
311,1,311,311,7.772075665,698.4375,6
312,1.166666667,312,312,8.00313723,698.4375,7
313,1.5,313,313,7.774027242,698.4375,9
314.001,1.833333333,314,314,10.99186163,698.4375,11
315.001,1.166666667,315,315,9.999634458,698.4375,7
316,2,316,316,18.99920393,698.4375,12
317,1.333333333,317,317,14.01368436,698.4375,8
318.001,0.666666667,318,318,10.98874972,698.4375,4
319,1,319,319,10.02565063,698.4375,6
320.001,2,320,320,7.763139946,698.4375,12
321,1.5,321,321,7.773131173,698.4375,9
322,1.833333333,322,322,12.00377279,698.4375,11
323.001,1,323,323,12.21587268,698.4375,6
324,1.166666667,324,324,9.999235614,698.4375,7
325,0.333333333,325,325,11.00464946,698.4375,2
326,0.666666667,326,326,15.53752512,698.4375,4
327.001,0.833333333,327,327,7.015951467,698.4375,5
328,0.666666667,328,328,18.86395493,698.4375,4
329,1.333333333,329,329,6.993617625,698.4375,8
330.001,1.333333333,330,330,11.01047426,698.4375,8
331.001,1,331,331,11.99574631,698.4375,6
332,1.333333333,332,332,11.99505564,698.4375,8
333.001,0.666666667,333,333,8.009451954,698.4375,4
334.001,1,334,334,14.98159511,698.4375,6
335,0.666666667,335,335,13.00195289,698.4375,4
336,1.166666667,336,336,9.009309319,698.4375,7
337,1.666666667,337,337,9.995808757,698.4375,10
338,0.833333333,338,338,17.01785343,698.4375,5
339,1,339,339,11.1049269,698.4375,6
340,0.666666667,340,340,11.1019064,698.4375,4
341,1.333333333,341,341,15.00151065,698.4375,8
341.999,0.666666667,342,342,13.00235213,698.4375,4
343.001,0.333333333,343,343,11.10580377,698.4375,2
344.001,1.166666667,344,344,7.997664682,698.4375,7
345,2,345,345,7.004775155,698.4375,12
346,1.333333333,346,346,15.01655124,698.4375,8
347.001,1.833333333,347,347,13.32778601,698.4375,11
348.001,1,348,348,9.996699978,698.4375,6
349,1.166666667,349,349,17.75722675,698.8255208,7
350.001,1,350,350,13.02140719,698.4375,6
351.001,1.333333333,351,351,14.43939707,698.8255208,8
352,0.333333333,352,352,7.773047447,698.4375,2
353,1.166666667,353,353,7.993385474,700.3776042,7
354,1,354,354,15.02121446,698.4375,6
355,1.166666667,355,355,13.30945617,698.4375,7
356.001,1,356,356,7.013189003,698.0494792,6
357.001,0.666666667,357,357,13.33010745,698.4375,4
358.001,1.333333333,358,358,11.10114229,698.4375,8
359,1.166666667,359,359,15.99031626,698.4375,7
360.001,1.666666667,360,360,14.99872511,698.4375,10
361.001,1,361,361,7.777091665,698.4375,6
362,0.833333333,362,362,14.99916455,698.4375,5
363,0.5,363,363,14.44143581,698.8255208,3
364.001,1.333333333,364,364,9.992510059,698.4375,8
365,1.333333333,365,365,8.009185735,698.4375,8
366,0.833333333,366,366,12.21768267,698.4375,5
367.001,0.666666667,367,367,14.41611837,698.4375,4
368.001,0.5,368,368,13.01414377,698.4375,3
369,1,369,369,9.011640336,698.4375,6
370,1.5,370,370,11.10452859,698.4375,9
371,1.666666667,371,371,13.33079011,698.4375,10
372.001,0.833333333,372,372,11.10594931,698.4375,5
373.001,1.666666667,373,373,11.10711749,698.4375,10
374.001,0.166666667,374,374,16.66414297,698.4375,1
375,0.833333333,375,375,10.00129117,698.4375,5
376,1.333333333,376,376,5.003890525,698.4375,8
377.001,0.833333333,377,377,12.20022386,698.4375,5
378,0.666666667,378,378,7.776752111,698.4375,4
379,0.5,379,379,16.01663488,698.4375,3
380,1,380,380,15.53663539,698.4375,6
381.001,1.333333333,381,381,12.00178347,698.4375,8
382.001,0.333333333,382,382,12.0031016,698.4375,2
383.001,1.166666667,383,383,6.660706075,698.4375,7
384,0.5,384,384,7.012598835,698.4375,3
385.001,0.5,385,385,7.774762897,698.4375,3
386,1.166666667,386,386,14.42837604,698.4375,7
387,1,387,387,14.97703721,698.4375,6
388,1.333333333,388,388,9.015878766,698.0494792,8
389,0.833333333,389,389,15.55532741,698.4375,5
389.999,0.833333333,390,390,15.55104402,698.4375,5
391,0.666666667,391,391,10.00628795,698.4375,4
392.001,0.833333333,392,392,9.999526689,698.4375,5
393.001,1.333333333,393,393,16.65464017,698.4375,8
394,0.666666667,394,394,16.00139532,698.4375,4
395,0.333333333,395,395,16.98574217,698.4375,2
396,0.666666667,396,396,19.04544624,698.4375,4
397.001,0.666666667,397,397,13.33184017,698.4375,4
398.001,1.5,398,398,15.00271849,698.4375,9
